dist,adv_out
0.1,0.35341144
0.1,0.4207152
0.1,0.57199526
0.1,0.467438
0.1,0.41914982
0.1,0.35765877
0.1,0.30731693
0.1,0.4201497
0.1,0.44365922
0.1,0.267759
0.1,0.22004162
0.1,0.22116326
0.1,0.29065347
0.1,0.2140486
0.1,0.35282812
0.1,0.34979486
0.1,0.16775703
0.1,0.41991854
0.1,0.30579376
0.1,0.2531166
0.1,0.38235727
0.1,0.471561
0.1,0.42697376
0.1,0.41830617
0.1,0.31448355
0.2,0.49024326
0.2,0.5740181
0.2,0.46607772
0.2,0.46374616
0.2,0.4845599
0.2,0.42477074
0.2,0.4253097
0.2,0.50152916
0.2,0.378997
0.2,0.2936572
0.2,0.3648022
0.2,0.42013556
0.2,0.45949337
0.2,0.52031666
0.2,0.32394612
0.2,0.3730998
0.2,0.4172449
0.2,0.39327717
0.2,0.41565132
0.2,0.3971963
0.2,0.5112662
0.2,0.50945807
0.2,0.43851078
0.2,0.3757662
0.2,0.49669176
0.3,0.4601184
0.3,0.5646198
0.3,0.5186169
0.3,0.5761913
0.3,0.5731938
0.3,0.44857112
0.3,0.42613998
0.3,0.536874
0.3,0.39849105
0.3,0.48348466
0.3,0.35535568
0.3,0.3281642
0.3,0.3868811
0.3,0.51999843
0.3,0.4954864
0.3,0.43800735
0.3,0.47124863
0.3,0.36250925
0.3,0.4200096
0.3,0.49413013
0.3,0.5118931
0.3,0.43907422
0.3,0.4462035
0.3,0.5278478
0.3,0.45342642
0.4,0.63327295
0.4,0.6173317
0.4,0.56432337
0.4,0.5309627
0.4,0.5731529
0.4,0.5723292
0.4,0.59621686
0.4,0.52389187
0.4,0.4874138
0.4,0.52408236
0.4,0.5368802
0.4,0.55898714
0.4,0.3948516
0.4,0.47366756
0.4,0.72471166
0.4,0.5375633
0.4,0.520792
0.4,0.54946995
0.4,0.5585203
0.4,0.50657654
0.4,0.57502353
0.4,0.54734737
0.4,0.4049452
0.4,0.63027143
0.4,0.56600815
0.5,0.5630432
0.5,0.41034576
0.5,0.6557305
0.5,0.48561266
0.5,0.46443877
0.5,0.56114537
0.5,0.37905708
0.5,0.54947656
0.5,0.44460002
0.5,0.40858188
0.5,0.43750122
0.5,0.49931338
0.5,0.58314013
0.5,0.31077814
0.5,0.42594033
0.5,0.48563337
0.5,0.59423447
0.5,0.57760286
0.5,0.46419
0.5,0.47703457
0.5,0.56443
0.5,0.55294913
0.5,0.56337106
0.5,0.5049897
0.5,0.6311063
0.6,0.6489055
0.6,0.6890097
0.6,0.6338078
0.6,0.64120114
0.6,0.71085024
0.6,0.64446634
0.6,0.60309714
0.6,0.6525268
0.6,0.5885505
0.6,0.5626568
0.6,0.52606404
0.6,0.63420534
0.6,0.71107817
0.6,0.5386671
0.6,0.48122075
0.6,0.5900874
0.6,0.61181974
0.6,0.73248243
0.6,0.57573557
0.6,0.65642214
0.6,0.71864706
0.6,0.73799706
0.6,0.63862973
0.6,0.6078368
0.6,0.6122854
0.7,0.57117176
0.7,0.53130746
0.7,0.5474934
0.7,0.6920759
0.7,0.46711388
0.7,0.5773341
0.7,0.6107101
0.7,0.5310225
0.7,0.6574287
0.7,0.33033648
0.7,0.6610875
0.7,0.5660926
0.7,0.5521779
0.7,0.80994284
0.7,0.4487638
0.7,0.6206889
0.7,0.5210924
0.7,0.47618723
0.7,0.7763424
0.7,0.49464512
0.7,0.66007423
0.7,0.5165048
0.7,0.5090405
0.7,0.6472487
0.7,0.48421502
0.8,0.479013
0.8,0.6097492
0.8,0.48736054
0.8,0.5252271
0.8,0.52187145
0.8,0.5417265
0.8,0.6176638
0.8,0.4877036
0.8,0.50259465
0.8,0.6088852
0.8,0.5976347
0.8,0.66925335
0.8,0.44618258
0.8,0.5159259
0.8,0.7312187
0.8,0.5724449
0.8,0.53081083
0.8,0.36878204
0.8,0.43141747
0.8,0.6708727
0.8,0.73607236
0.8,0.7720913
0.8,0.51688683
0.8,0.57768136
0.8,0.53367054
0.9,0.61167765
0.9,0.65006053
0.9,0.46292713
0.9,0.5549562
0.9,0.50894976
0.9,0.63238114
0.9,0.6665196
0.9,0.44105068
0.9,0.6226329
0.9,0.42994502
0.9,0.6156335
0.9,0.6243756
0.9,0.5204818
0.9,0.647244
0.9,0.556479
0.9,0.5550475
0.9,0.60940695
0.9,0.44869328
0.9,0.49857187
0.9,0.4503882
0.9,0.46935487
0.9,0.6603938
0.9,0.4534003
0.9,0.6561025
0.9,0.53422964
